# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
4738,1653347319.4189034,15161600,0.1043751984834671,2.3271591663360596,-0.176254004240036,3.1931302547454834

4739,1653347320.9899037,15164800,0.1043751984834671,2.3271591663360596,-0.17630381882190704,2.5677578449249268

4740,1653347321.5809042,15168000,0.10489330440759659,1.440667748451233,-0.17630381882190704,2.5677578449249268

4741,1653347322.9899042,15171200,0.10489330440759659,1.440667748451233,-0.17649362981319427,1.5310310125350952

4742,1653347323.7539034,15174400,0.10488050431013107,1.1685740947723389,-0.17649362981319427,1.5310310125350952

4743,1653347324.8789034,15177600,0.10488050431013107,1.1685740947723389,-0.17684529721736908,1.3354601860046387

4744,1653347325.9140635,15180800,0.10560157150030136,1.0482333898544312,-0.17684529721736908,1.3354601860046387

4745,1653347326.6974292,15184000,0.10560157150030136,1.0482333898544312,-0.17738741636276245,1.339452862739563

4746,1653347327.8831277,15187200,0.10605940222740173,1.2347625494003296,-0.17738741636276245,1.339452862739563

4747,1653347328.59613,15190400,0.10605940222740173,1.2347625494003296,-0.1781170517206192,1.435613751411438

4748,1653347330.1113994,15193600,0.106448695063591,1.1024127006530762,-0.1781170517206192,1.435613751411438

4749,1653347330.396029,15196800,0.106448695063591,1.1024127006530762,-0.17859020829200745,1.1756576299667358

4750,1653347332.2214801,15200000,0.10628905892372131,1.061475157737732,-0.17859020829200745,1.1756576299667358

4751,1653347332.3682275,15203200,0.10628905892372131,1.061475157737732,-0.17869575321674347,1.0936329364776611

4752,1653347334.2556837,15206400,0.10628905892372131,1.061475157737732,-0.1784244030714035,0.9851127862930298

4753,1653347334.5657573,15209600,0.10635862499475479,1.0752536058425903,-0.1784244030714035,0.9851127862930298

4754,1653347336.070851,15212800,0.10635862499475479,1.0752536058425903,-0.17889507114887238,1.874563455581665

4755,1653347336.5538518,15216000,0.10659700632095337,2.6809563636779785,-0.17889507114887238,1.874563455581665

4756,1653347338.0188515,15219200,0.10659700632095337,2.6809563636779785,-0.1786009967327118,1.0750324726104736

4757,1653347338.6668508,15222400,0.10582521557807922,1.0276893377304077,-0.1786009967327118,1.0750324726104736

4758,1653347339.7920275,15225600,0.10582521557807922,1.0276893377304077,-0.17825502157211304,0.9385144114494324

4759,1653347340.8400261,15228800,0.10566850751638412,1.008387565612793,-0.17825502157211304,0.9385144114494324

4760,1653347341.7260258,15232000,0.10566850751638412,1.008387565612793,-0.17828693985939026,1.0123145580291748

4761,1653347342.8597603,15235200,0.10545171797275543,1.4621292352676392,-0.17828693985939026,1.0123145580291748

4762,1653347343.5097601,15238400,0.10545171797275543,1.4621292352676392,-0.17777656018733978,1.4055497646331787

4763,1653347345.040655,15241600,0.10503866523504257,1.2812658548355103,-0.17777656018733978,1.4055497646331787

4764,1653347345.406048,15244800,0.10503866523504257,1.2812658548355103,-0.17743591964244843,0.8930810689926147

4765,1653347347.1786199,15248000,0.10407375544309616,0.8897752165794373,-0.17743591964244843,0.8930810689926147

4766,1653347347.3394701,15251200,0.10407375544309616,0.8897752165794373,-0.1761806160211563,0.8251323103904724

4767,1653347349.0941284,15254400,0.10407375544309616,0.8897752165794373,-0.17554186284542084,0.8541905879974365

4768,1653347349.3951275,15257600,0.10321886092424393,0.8574233055114746,-0.17554186284542084,0.8541905879974365

4769,1653347350.9831269,15260800,0.10321886092424393,0.8574233055114746,-0.17515195906162262,0.8598644733428955

4770,1653347351.3981931,15264000,0.10264363884925842,0.9028266072273254,-0.17515195906162262,0.8598644733428955

4771,1653347352.683194,15267200,0.10264363884925842,0.9028266072273254,-0.17486722767353058,0.8623092770576477

4772,1653347353.4771924,15270400,0.10281021147966385,0.8735330700874329,-0.17486722767353058,0.8623092770576477

4773,1653347354.4151921,15273600,0.10281021147966385,0.8735330700874329,-0.175272136926651,0.8047980666160583

4774,1653347355.4211931,15276800,0.10213445872068405,1.247305154800415,-0.175272136926651,0.8047980666160583

4775,1653347356.3391929,15280000,0.10213445872068405,1.247305154800415,-0.1753282994031906,1.3730154037475586

4776,1653347357.5233195,15283200,0.10283660888671875,1.2707552909851074,-0.1753282994031906,1.3730154037475586

4777,1653347358.0973213,15286400,0.10283660888671875,1.2707552909851074,-0.17536158859729767,0.5699431896209717

4778,1653347359.6953216,15289600,0.10330858081579208,0.6383381485939026,-0.17536158859729767,0.5699431896209717

4779,1653347360.035321,15292800,0.10330858081579208,0.6383381485939026,-0.1756840944290161,0.5285292863845825

4780,1653347361.7873204,15296000,0.10330858081579208,0.6383381485939026,-0.17535248398780823,0.8492764830589294

4781,1653347361.912321,15299200,0.10286170244216919,0.8981512188911438,-0.17535248398780823,0.8492764830589294

4782,1653347363.5863202,15302400,0.10286170244216919,0.8981512188911438,-0.17528313398361206,0.8242820501327515

4783,1653347364.126322,15305600,0.10227226465940475,0.8572077751159668,-0.17528313398361206,0.8242820501327515

4784,1653347365.4463215,15308800,0.10227226465940475,0.8572077751159668,-0.17543254792690277,0.8189981579780579

4785,1653347366.2168474,15312000,0.10201934725046158,0.9512532949447632,-0.17543254792690277,0.8189981579780579

4786,1653347367.3663435,15315200,0.10201934725046158,0.9512532949447632,-0.17431852221488953,0.9013991355895996

4787,1653347368.342397,15318400,0.10047230869531631,0.9348496198654175,-0.17431852221488953,0.9013991355895996

4788,1653347369.2371578,15321600,0.10047230869531631,0.9348496198654175,-0.17426654696464539,0.8807923793792725

4789,1653347370.521443,15324800,0.09970409423112869,0.9019386172294617,-0.17426654696464539,0.8807923793792725

4790,1653347371.0056307,15328000,0.09970409423112869,0.9019386172294617,-0.1730528324842453,0.8401350378990173

4791,1653347372.4552667,15331200,0.09805905073881149,0.9299100637435913,-0.1730528324842453,0.8401350378990173

